compound,sentence_type,sentence,image_name,image_caption,label
spring chicken,idiomatic,Paice is no spring chicken and what he lacked in raw speed he made up with flair and aesthetic.,20324325790.png,"The image depicts three individuals standing together, engaged in what appears to be a collaborative or discussion-based activity. The person on the left is an older man with gray hair and glasses, dressed in a dark suit with a red tie. He is holding a tablet device in his hands, suggesting he might be presenting information or facilitating a meeting.\n\nThe person in the middle is another older individual, also with gray hair and glasses. This person is wearing a bright orange top and black pants, and they are holding a smartphone, indicating they might be involved in a digital task or sharing information.\n\nThe person on the right is a younger woman with short brown hair and glasses. She is dressed in a dark blazer over a light-colored top and black pants, and she is gesturing with her hands, possibly explaining something or making a point during the discussion.\n\nAll three individuals appear to be focused and engaged in their interaction, with smiles on their faces, suggesting a positive and collaborative atmosphere. The background is plain white, which helps to emphasize the subjects without any distractions.",1
spring chicken,idiomatic,Paice is no spring chicken and what he lacked in raw speed he made up with flair and aesthetic.,66116309434.png,"The image depicts a cute, cartoon-style chicken standing on a small patch of dirt surrounded by green grass and a few rocks. The chicken has a fluffy, light brown body with a red comb on its head. It is looking at a group of bright yellow flowers with long green stems. The background is plain white, which makes the colors of the chicken and flowers stand out prominently. The overall scene gives a cheerful and whimsical impression.",0
spring chicken,idiomatic,Paice is no spring chicken and what he lacked in raw speed he made up with flair and aesthetic.,57301692989.png,"The image depicts a cheerful snowman standing on a small pile of snow. The snowman is adorned with a black top hat that has an orange ribbon around its base, adding a touch of color to the otherwise monochrome figure. The snowman's face features a wide, toothy grin, with two black buttons serving as eyes and a carrot nose. It wears an orange plaid scarf that wraps around its neck, complementing the hat's orange ribbon. The snowman's arms are made from sticks, and it has three brown buttons for buttons, giving it a playful and whimsical appearance. The background is plain white, which makes the snowman stand out prominently. The overall scene conveys a festive and joyful winter atmosphere.",0
wet blanket,idiomatic,"Those kinds of ""wise men"" are well-known as party poopers and wet blankets.",42863262440.png,"The image depicts a group of seven people standing in a circle, engaged in what appears to be a discussion or conversation. The setting is simple and minimalistic, with a plain white background and a light gray circular platform on which the characters stand.\n\n1. **Characters:**\n   - There are six women and one man.\n   - The man is positioned towards the right side of the image, wearing a dark shirt and pants.\n   - The women are dressed in various styles, including skirts, dresses, and blouses. Their attire ranges from casual to slightly formal.\n   - One woman in the center-left of the image is holding a tablet or a similar device, possibly showing something to the others.\n\n2. **Expressions and Postures:**\n   - The central figure, who is holding the tablet, has a focused expression, suggesting she might be presenting or explaining something.\n   - The other individuals appear to be attentive and engaged, with some looking at the tablet and others conversing among themselves.\n   - The overall mood seems to be serious and focused, indicating that the discussion might be important or urgent.\n\n3. **Setting:**\n   - The simplicity of the background and the platform suggests that the focus is entirely on the characters and their interaction.\n   - The lack of additional elements like furniture or decorations emphasizes the importance of the conversation itself.\n\n4. **Possible Context:**\n   - Given the presence of the tablet and the attentive expressions, it could be a business meeting, a team discussion, or a presentation scenario.\n   - The diversity in attire suggests a professional or semi-formal environment.\n\nIn summary, the image shows a group of seven people, likely colleagues or team members, gathered around a central figure who is presenting information on a tablet. The setting is minimalistic, focusing on the interaction and the content being discussed.",1
wet blanket,idiomatic,"Those kinds of ""wise men"" are well-known as party poopers and wet blankets.",89874256741.png,"The image depicts a rolled-up blanket with fur trim, lying on a surface that appears to be wet or covered in water. The blanket is partially unrolled, revealing its soft, fluffy interior. There are several small droplets of water scattered around the blanket, indicating that it might have been recently washed or is in the process of drying. The background is plain and white, which helps to highlight the details of the blanket and the water droplets.",0
wet blanket,idiomatic,"Those kinds of ""wise men"" are well-known as party poopers and wet blankets.",82243393240.png,"The image depicts a cartoon-style police officer standing with one hand on their hip. The officer is wearing a black uniform with a badge on the chest and shoulder patches. The uniform includes a black cap with an orange emblem, a black tie, and black pants. The officer has a friendly expression with large, expressive eyes and a slight smile. The background is plain white, which helps to highlight the character.",0
cat's eyes,idiomatic,American roads in the South do have cat's eyes but we don't have them in regions with snow because the plows would scrape them up every winter.,40926790413.png,"The image depicts a nighttime scene of a road illuminated by streetlights and reflective markers. The road is divided into two lanes, each marked with white dashed lines. The left lane has a solid yellow line separating it from the right lane. The road appears to be well-maintained and clean.\n\nOn the left side of the road, there are several trees with green foliage, providing some natural elements to the otherwise urban setting. The trees are evenly spaced along the road, contributing to a sense of order and symmetry in the composition.\n\nAlong the right side of the road, there are orange and white striped traffic cones placed at regular intervals. These cones likely serve as temporary roadblocks or markers for construction or maintenance work. The cones are illuminated, indicating that they are designed to be visible even in low-light conditions.\n\nThe streetlights lining the road emit a warm, yellowish light, casting a glow on the road surface and creating a sense of depth and perspective. The lights are evenly spaced, ensuring that the road is well-lit and safe for nighttime travel.\n\nThe sky is dark, indicating that it is nighttime. There are no visible stars or other celestial bodies, which suggests that the image focuses solely on the road and its immediate surroundings.\n\nOverall, the image conveys a sense of tranquility and orderliness, with the well-lit road and organized placement of objects creating a calm and safe environment for nighttime travel.",1
cat's eyes,idiomatic,American roads in the South do have cat's eyes but we don't have them in regions with snow because the plows would scrape them up every winter.,97172825746.png,"The image depicts a close-up view of a cat's face, focusing on the eyes and part of the nose. The cat has striking orange eyes with black pupils, giving them a vivid and intense appearance. The fur around the eyes is a mix of white and brown, with the brown fur being more prominent on the top and sides of the head. The cat's nose is pink, and it has long white whiskers extending from its mouth area. The background is plain white, which helps to highlight the details of the cat's face.",0
cat's eyes,idiomatic,American roads in the South do have cat's eyes but we don't have them in regions with snow because the plows would scrape them up every winter.,89307973022.png,"The image depicts a traffic cone, which is typically used to direct traffic or indicate roadwork. The cone is primarily orange with a white stripe running vertically down its center. There are some small stickers or decals on the side of the cone, including what appears to be a red triangle with a black border and a black symbol inside it, possibly indicating caution or a warning. The base of the cone is also orange, and there is a shadow cast on the ground beneath it, suggesting that the cone is standing upright. The overall appearance of the cone suggests it has been used and may have some wear and tear.",0
graveyard shift,idiomatic,He moved from the 10 pm slot to his lower profile life as a DJ on Radio Norwich's graveyard shift.,50466267708.png,"The image depicts a well-organized office workspace with a professional and modern aesthetic. The central focus is on a desk situated in the middle of the room, which is occupied by a person who appears to be working on a laptop. The individual is wearing a black cap and a dark-colored shirt with a logo on the left side of their chest. They seem to be engaged in some task, possibly typing or reviewing documents.\n\nThe desk itself is made of wood and has a sleek design, featuring a combination of drawers and compartments for storage. On the desk, there is a laptop open in front of the person, along with a mouse and a keyboard. To the right of the laptop, there is a small stack of books or folders, suggesting that the person might be involved in research or documentation work.\n\nBehind the desk, there is a large, dark-colored bookshelf filled with various items. The shelves are neatly arranged, containing an assortment of books, binders, and other office supplies. The bookshelf is divided into sections, each holding different types of materials. Some sections contain books standing upright, while others have binders or folders stacked horizontally. The arrangement indicates a systematic approach to organizing the workspace.\n\nTo the left of the desk, there is a small potted plant placed on the floor, adding a touch of greenery to the otherwise monochromatic setting. The plant is positioned near the bottom edge of the image, making it a subtle yet noticeable element in the scene.\n\nThe background features a large window that spans almost the entire width of the image. Through the window, a starry night sky can be seen, adding a serene and calm atmosphere to the office environment. The stars are depicted as small white dots against a dark backdrop, creating a contrast that enhances the overall visual appeal of the scene.\n\nOverall, the image portrays a tidy and organized office space designed for productivity and efficiency. The presence of the starry night outside the window suggests that the office might be located in a high-rise building, providing a peaceful and inspiring view for the occupants. The combination of modern furniture, organized shelves, and natural elements like the potted plant creates a balanced and inviting workspace.",1
graveyard shift,idiomatic,He moved from the 10 pm slot to his lower profile life as a DJ on Radio Norwich's graveyard shift.,83947965924.png,"The image depicts an elderly man engaged in the act of planting a small tree or shrub in a cemetery. The scene is set in a serene, somewhat rustic environment with a mix of natural and man-made elements.\n\n**Objects Present in the Image:**\n\n1. **Elderly Man:**\n   - The central figure is an elderly man with white hair and a beard.\n   - He is wearing a dark-colored shirt and pants.\n   - The man is kneeling down, using a small shovel to dig into the soil.\n   - His posture suggests he is focused on the task at hand.\n\n2. **Tree Planting:**\n   - The man is planting a young tree or shrub.\n   - The tree appears to be just a few inches tall, with a small green shoot emerging from its base.\n   - The soil around the plant is freshly dug, indicating that the planting process is ongoing.\n\n3. **Cemetery Setting:**\n   - The background features several headstones and gravestones, suggesting that this is a cemetery.\n   - The headstones vary in size and design, some are simple crosses while others have more elaborate carvings.\n   - There is a small chapel or church building in the background, characterized by its white walls and a red-tiled roof.\n   - Trees and shrubs are scattered throughout the cemetery, adding to the natural ambiance.\n\n4. **Natural Elements:**\n   - The ground is covered with brown soil, typical of a well-maintained cemetery.\n   - There are patches of grass and small plants growing sporadically.\n   - A few trees with green foliage are visible, providing a sense of depth and scale to the scene.\n\n5. **Artistic Style:**\n   - The image has a somewhat illustrative and artistic style, with a blend of realistic and stylized elements.\n   - The colors are muted but warm, contributing to the tranquil and respectful atmosphere of the scene.\n\n6. **Additional Details:**\n   - The sky is not prominently featured, but it appears to be clear, suggesting good weather conditions for planting.\n   - The overall mood of the image is one of reverence and care, as the elderly man engages in a meaningful activity within a solemn setting.\n\n**Analysis and Description:**\n\nThis image captures a poignant moment of human connection with nature and respect for the dead. The elderly man's actions reflect a sense of duty and remembrance, as he plants a new life in a place where many",0
graveyard shift,idiomatic,He moved from the 10 pm slot to his lower profile life as a DJ on Radio Norwich's graveyard shift.,11712779940.png,"The image depicts Santa Claus standing in what appears to be a shopping mall or a similar indoor commercial space. Santa is dressed in his traditional red suit with white trim, black boots, and a large red hat adorned with white fur trim. He has a white beard and a red nose.\n\nSanta is holding two wrapped presents in each hand. The presents are red boxes tied with gold ribbon bows. His expression seems cheerful and welcoming, as he looks directly at the viewer.\n\nIn the background, there are several storefronts visible through glass windows. These stores have festive decorations, including Christmas trees and other holiday-themed items. The lighting in the mall is bright, contributing to the cheerful and festive atmosphere.\n\nThe floor of the mall is tiled, and the ceiling has recessed lighting fixtures. The overall scene suggests a busy shopping environment during the holiday season, with Santa Claus adding a touch of warmth and joy to the scene.\n\n### Analysis:\n1. **Setting**: The image is set in a shopping mall, indicated by the presence of storefronts and the bright, well-lit environment.\n2. **Subject**: The main subject is Santa Claus, who is central to the image and is depicted in a cheerful and welcoming manner.\n3. **Objects**: Santa is holding two wrapped presents, which are a common symbol associated with gift-giving during the holiday season.\n4. **Decorations**: The background features Christmas trees and other holiday decorations, reinforcing the festive theme.\n5. **Lighting**: The bright lighting in the mall enhances the cheerful and inviting ambiance.\n\n### Relevant Knowledge:\n- **Santa Claus**: A popular figure in Western culture, often associated with Christmas, known for delivering gifts to children on Christmas Eve.\n- **Shopping Malls**: Commonly decorated for the holiday season, with increased foot traffic and special promotions.\n- **Christmas Decorations**: Commonly include Christmas trees, lights, wreaths, and other festive elements to create a celebratory atmosphere.\n\nThis detailed description should provide a comprehensive understanding of the image for any text-based model to answer related questions effectively.",0
night owl,idiomatic,"It's a constant battle for us, as he is a morning person and I am a night owl, so I find that going to sleep at 9.30 really cuts out the best hours.",61697797701.png,"The image depicts a cartoon-style illustration of a person sitting at a desk, working on a computer. The setting appears to be a cozy, well-lit room with a starry night sky visible through a large circular window behind the desk. The desk is cluttered with various items, including a laptop, a cup of pens and pencils, a cactus plant in a pot, and some books. The person is wearing glasses and is focused on their work. The overall atmosphere is calm and productive.",1
night owl,idiomatic,"It's a constant battle for us, as he is a morning person and I am a night owl, so I find that going to sleep at 9.30 really cuts out the best hours.",00982495584.png,"The image depicts a nighttime scene with a large, bright full moon in the background. The moon is prominently positioned in the upper left quadrant of the image, casting a warm, golden light that illuminates the surrounding area. The sky is dark, suggesting it is nighttime, and there are a few small stars scattered across it.\n\nIn the foreground, there is a black owl perched on a branch. The owl has large, round eyes that are glowing orange, giving it a striking and somewhat eerie appearance. Its feathers are detailed, with shades of black and brown, and its talons are visible as it grips the branch firmly. The owl's wings are folded neatly against its body, and it appears to be looking directly at the viewer.\n\nThe branch on which the owl is perched is dark and bare, with no leaves or foliage. It extends diagonally from the bottom left to the top right of the image, creating a sense of depth and perspective. The overall atmosphere of the image is mysterious and somewhat unsettling, enhanced by the contrast between the bright moonlight and the dark surroundings.",0
night owl,idiomatic,"It's a constant battle for us, as he is a morning person and I am a night owl, so I find that going to sleep at 9.30 really cuts out the best hours.",93541983868.png,"The image depicts a dumbbell, which is a common piece of exercise equipment used for strength training. The dumbbell has two large, round weights attached to opposite ends of a central handle. The weights appear to be made of metal and are encased in black rubber or plastic sleeves, which provide a non-slip grip and protect the weights from scratches and damage. The central handle is metallic and has a textured surface for better grip. The overall design suggests that it is intended for use in weightlifting exercises to build muscle strength and endurance.",0
best man,idiomatic,"All stories aside, Neil is a great mate and it made me extremely proud to be asked to be his best man.",95555063454.png,"The image depicts three men dressed in formal attire, each wearing a suit and tie. They appear to be engaged in a ceremonial act, possibly exchanging rings or performing a similar ritual. The central figure is holding a ring between his hands, while the other two men are extending their hands towards him, likely to receive or present the ring. Each man has a boutonniere pinned to their lapel, which consists of an orange flower. The overall scene suggests a formal event, such as a wedding or a similar celebration.",1
best man,idiomatic,"All stories aside, Neil is a great mate and it made me extremely proud to be asked to be his best man.",12494202211.png,"The image depicts an animated character celebrating a victory in a race. The character is wearing an orange shirt and black shorts, with orange shoes. They have a joyful expression on their face, with their arms raised in triumph. Confetti and streamers are falling around them, adding to the celebratory atmosphere. The character appears to be crossing the finish line of a race, as indicated by the striped finish line markers at the bottom of the image. The overall scene conveys a sense of excitement and achievement.",0
best man,idiomatic,"All stories aside, Neil is a great mate and it made me extremely proud to be asked to be his best man.",94431397208.png,"The image depicts a cartoon character of a woman dressed in professional attire. She is wearing a dark-colored blazer over a white shirt and an orange undershirt. Her arms are crossed, and she has short brown hair styled neatly. The background is plain white, which makes the character stand out prominently.",0
cold feet,idiomatic,"True, some investors may still have cold feet from the summer of five years prior and the consequential financial collapse.",59343739282.png,"The image depicts a cartoon character dressed in formal attire, including a black suit, white shirt, and black tie. The character has a pink rose pinned to the lapel of their suit jacket. They have short, dark hair and are holding their chin with their hand, suggesting a thoughtful or contemplative pose. The background is plain white, which helps to highlight the character.",1
cold feet,idiomatic,"True, some investors may still have cold feet from the summer of five years prior and the consequential financial collapse.",50373128271.png,"The image depicts a person standing in deep snow, wearing brown shorts and orange boots. The snow is falling around the person, and there are snowflakes visible in the air. The person's hands are raised slightly, and the scene has a wintry, cold atmosphere.",0
cold feet,idiomatic,"True, some investors may still have cold feet from the summer of five years prior and the consequential financial collapse.",35077089633.png,"The image depicts an animated character with dark brown hair and a fierce expression. The character is wearing a white shirt, black pants, and a black tie. The background features orange streaks, suggesting a sense of anger or intensity. The character's fists are clenched, adding to the aggressive demeanor.",0
agony aunt,idiomatic,"ESA's Space Weather Office is like Europe's stellar agony aunt, offering forecasts, advice and information for any organisation, individual or institution vulnerable to space phenomena.",83600499282.png,"The image depicts a person sitting at a desk, engaged in writing or typing. The individual is holding a pencil and appears to be focused on the task at hand. The desk is cluttered with various items, including a typewriter, several envelopes, a stack of papers, and a cup filled with writing utensils such as pencils and pens. The person is wearing a white blouse and has their hair tied up in a bun. The setting suggests a workspace or an office environment, possibly from a bygone era given the presence of the typewriter.",1
agony aunt,idiomatic,"ESA's Space Weather Office is like Europe's stellar agony aunt, offering forecasts, advice and information for any organisation, individual or institution vulnerable to space phenomena.",32964421720.png,"The image depicts a cartoon-style illustration of a woman lying in bed, appearing distressed or in pain. She has a bloodstain on her face and is wearing a white shirt. The bed has a brown headboard and is covered with a brown blanket. The woman's expression and body language suggest she is experiencing discomfort or distress.",0
agony aunt,idiomatic,"ESA's Space Weather Office is like Europe's stellar agony aunt, offering forecasts, advice and information for any organisation, individual or institution vulnerable to space phenomena.",92533456778.png,"The image depicts a cartoon character of a woman dressed in professional attire, holding a microphone. She is wearing a brown suit with a white shirt and an orange tie. The character has brown hair styled in a bob cut and is standing with one hand on her hip and the other holding the microphone. The background is plain white, emphasizing the character.",0
monkey business,idiomatic,"Architecturally magnificent, it is as clean as a whistle, and absolutely no monkey business goes on.",04129294826.png,"The image depicts a group of six children in a classroom setting, standing on desks and chairs. The desks and chairs are arranged in two rows, with the children positioned on both the desks and chairs. \n\n1. **Children's Positions**:\n   - There are three boys and three girls.\n   - Two boys are seated on chairs: one is sitting on a chair at the front right side of the image, and the other is sitting on a chair at the back left side.\n   - One girl is standing on a desk at the front left side of the image.\n   - Another girl is standing on a desk at the front center of the image.\n   - A boy is standing on a desk at the front right side of the image.\n   - A girl is standing on a desk at the back center of the image.\n\n2. **Clothing and Accessories**:\n   - The children are dressed in casual clothing, including t-shirts, shorts, skirts, and sneakers.\n   - Some children have accessories like hats or backpacks, though these are not clearly visible in the image.\n\n3. **Desk and Chair Arrangement**:\n   - The desks are orange with black legs, and the chairs are red with black legs.\n   - The desks are arranged in two parallel rows, with the children standing on them.\n   - The chairs are placed between the desks, with some children sitting on them.\n\n4. **Background**:\n   - The background is plain white, which helps to focus attention on the children and their actions.\n\n5. **Expressions and Postures**:\n   - The children appear to be engaged and happy, as indicated by their smiling faces and active postures.\n   - The children seem to be participating in an activity or game, possibly related to learning or play.\n\n6. **Lighting and Shadows**:\n   - The lighting in the image is bright, casting soft shadows beneath the desks and chairs, indicating a well-lit environment.\n\n### Analysis and Description\n\nThis image captures a lively and interactive scene in a classroom. The children are engaged in what appears to be a playful activity, possibly involving movement or role-playing, given their dynamic postures and expressions. The arrangement of desks and chairs suggests a flexible and interactive learning environment, where students can move around freely.\n\nThe use of bright colors for the clothing and furniture adds to the cheerful and energetic atmosphere of the scene. The children's varied positions on the desks and chairs indicate a sense of freedom and creativity",1
monkey business,idiomatic,"Architecturally magnificent, it is as clean as a whistle, and absolutely no monkey business goes on.",94990180734.png,"The image depicts two cartoon chimpanzees sitting at a desk in an office setting. Both chimpanzees are dressed in formal attire, including white shirts and orange ties. They appear to be working on laptops, with one of them holding a pen and looking at the screen intently. The desk has various office supplies, such as pens and a cup, placed on it. Above the desk, there is a piece of paper with a graph or chart pinned to the wall, suggesting they might be analyzing data or financial information. The overall scene conveys a humorous take on office work, with the chimpanzees appearing to be focused and engaged in their tasks.",0
monkey business,idiomatic,"Architecturally magnificent, it is as clean as a whistle, and absolutely no monkey business goes on.",33778559524.png,"The image depicts a group of men engaged in prayer. They are dressed in traditional Islamic attire, including long robes and head coverings. The central figure is slightly larger and more prominent than the others, suggesting he may be leading the prayer. The men are standing in a line, with their hands pressed together in front of them, indicating they are in a state of worship or supplication. The overall scene conveys a sense of unity and devotion.",0
bear market,idiomatic,"Our exposure to technology, sector bets, and decision to increase equity exposure during the depth of the bear market helped position the fund to outperform.",41056104334.png,"The image depicts a cartoon-style illustration of a man in a business setting, seemingly in a state of distress or confusion. He is wearing a white shirt and a black tie, and he has glasses on. The background features a large screen displaying various financial charts and graphs, with red downward arrows indicating a decline in stock prices. The man appears to be holding two smartphones to his ears, possibly communicating with someone or trying to manage multiple tasks simultaneously. His expression and body language suggest that he is overwhelmed or concerned about the financial information he is receiving.",1
bear market,idiomatic,"Our exposure to technology, sector bets, and decision to increase equity exposure during the depth of the bear market helped position the fund to outperform.",34535041645.png,"The image depicts an elderly man with a beard, dressed in a formal suit and tie, standing next to a cage. Inside the cage is a black bear, which appears to be looking out of the cage with a somewhat surprised or curious expression. The man is holding a tag that reads ""BROOKLYN ZOO"" attached to a rope, suggesting he might be releasing or interacting with the bear. The cage has a metal frame with a door that is open, and there are some scattered pieces of wood on the ground around the cage. The overall scene suggests a moment of interaction between the man and the bear, possibly at a zoo or wildlife sanctuary.",0
bear market,idiomatic,"Our exposure to technology, sector bets, and decision to increase equity exposure during the depth of the bear market helped position the fund to outperform.",99596916072.png,"The image depicts a cartoon character who appears to be a man with a beard, wearing a wide-brimmed hat and a backpack. He is crawling out of a hole in the ground, surrounded by dirt and grass. The character has a surprised or concerned expression on his face, with wide eyes and a slightly open mouth. The overall scene suggests that he might have been digging or exploring underground and is now emerging from the hole.",0
green fingers,idiomatic,The children already have green fingers as they help out with their school's vegetable plot and enthusiastically responded to questions.,70936009357.png,"The image depicts an elderly man engaged in gardening activities. He is crouching down next to a small garden bed, which is enclosed by a wooden fence. The garden bed contains various plants and vegetables, including tomatoes, garlic, and what appears to be young seedlings or small plants. \n\nThe man is wearing a light-colored shirt, brown pants, and a wide-brimmed hat with a small orange decoration on the brim. He has a white beard and glasses, suggesting he might be older. His expression seems focused as he tends to the plants.\n\nIn the background, there is a tree with green leaves, providing some shade over the garden bed. The tree is situated behind the fence, adding a natural element to the scene. The ground around the garden bed is covered with dark soil, indicating that it is actively being cultivated.\n\nThere are several tomatoes visible in the garden bed, some of which are already fully grown while others are still small and green. Garlic bulbs are also present, identifiable by their distinct shape and size. Additionally, there are young seedlings or small plants emerging from the soil, showing signs of growth.\n\nThe overall scene conveys a sense of tranquility and diligence, highlighting the man's commitment to his gardening hobby. The presence of the fence suggests that the garden is well-maintained and possibly part of a larger garden or backyard area.\n\nThis detailed description should provide a comprehensive understanding of the image for any text-based model to answer related questions.",1
green fingers,idiomatic,The children already have green fingers as they help out with their school's vegetable plot and enthusiastically responded to questions.,51782240579.png,"The image depicts a cartoon-style illustration of a young girl with brown hair tied back in a ponytail. She is wearing overalls and has paint splatters on her hands, face, and clothing. The paint appears to be green and orange, suggesting she might have been involved in some form of creative activity or playtime. Her expression is cheerful and enthusiastic, with wide eyes and a big smile, indicating she is enjoying herself. The background is plain white, which helps to focus attention on the girl and her colorful paint splatters.",0
green fingers,idiomatic,The children already have green fingers as they help out with their school's vegetable plot and enthusiastically responded to questions.,07743769938.png,"The image depicts an elderly man playing the piano. He is seated on a black stool with orange accents, positioned in front of a large, dark-colored grand piano. The piano has a shiny, reflective surface and is placed on a raised platform. The man is dressed in a formal suit with a red tie, and he appears to be focused on playing the instrument. The background is plain white, which helps to emphasize the subject and the piano. The overall scene suggests a classical music performance or practice session.",0
black box,idiomatic,Smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process.,87384116939.png,"The image depicts a cartoon-style scene featuring a person wearing an orange hard hat, standing next to a conveyor belt. The conveyor belt is filled with red apples, and there is a machine on the right side of the image that appears to be sorting or processing the apples. The machine has a robotic arm with a striped pattern, which is interacting with one of the apples. The background is plain, focusing attention on the main elements of the scene.",1
black box,idiomatic,Smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process.,26884594713.png,"The image depicts a black rectangular box with a lid, placed on a round wooden table. The box has a small orange ribbon or tag attached to the front, which is likely used for sealing or decorative purposes. The background is plain and white, which helps to highlight the box and the table. The overall setting appears minimalistic and clean.",0
black box,idiomatic,Smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process.,39145239973.png,"The image depicts a cute, cartoon-style puppy with a friendly and cheerful expression. The puppy has a fluffy coat that is primarily brown with white markings on its face, chest, and paws. It has large, expressive black eyes and a small black nose. The puppy is wearing an orange collar around its neck. Its ears are floppy and dark brown, and it has a bushy tail. The puppy is sitting on a plain, light-colored background, which helps to highlight its adorable features.",0
donkey work,idiomatic,Each year he was able to persuade half a dozen of his friends from upcountry to come down to St Ives and do the festival's donkey work in return for a fortnight's accommodation.,61839746143.png,"The image depicts a cartoon-style illustration of a person carrying a large, round bundle of hay on their back. The person is wearing a light-colored shirt, dark shorts, and dark shoes. The hay bundle appears to be quite heavy, as the person is struggling to hold it up. The background is plain white, which helps to emphasize the figure and the hay bundle. The overall scene suggests a rural or agricultural setting, possibly involving farm work.",1
donkey work,idiomatic,Each year he was able to persuade half a dozen of his friends from upcountry to come down to St Ives and do the festival's donkey work in return for a fortnight's accommodation.,09316292173.png,"The image depicts a cartoon donkey standing on a rocky surface. The donkey has a friendly and slightly surprised expression, with wide eyes and a small smile. It is heavily burdened with a large pile of goods strapped to its back. The goods include various items such as sacks, rocks, and what appears to be a large carrot. The donkey's harness and straps are visible, indicating that it is carrying the load. The overall scene suggests a humorous or exaggerated depiction of a donkey carrying an excessive amount of weight.",0
donkey work,idiomatic,Each year he was able to persuade half a dozen of his friends from upcountry to come down to St Ives and do the festival's donkey work in return for a fortnight's accommodation.,48515505986.png,"The image depicts a goldfish with a vibrant orange and white coloration. The fish has a prominent red patch on its head, which is characteristic of certain goldfish breeds. Its body is covered in scales that reflect light, giving it a shiny appearance. The fins are large and flowing, with the tail fin being particularly elaborate and spread out. The fish appears to be swimming, with its mouth slightly open as if it is breathing or speaking. The background is plain white, which helps to highlight the fish's colors and details.",0
chocolate teapot,idiomatic,"Nonetheless, the striking partner of the two is often undermined by chocolate teapot Arsenal's defence.",67358465992.png,"The image depicts a cartoon-style illustration of a camping scene. At the center of the image is an orange tent with a brown interior. The tent has a large, circular opening at the front, which appears to be torn or damaged, allowing a view of a mountainous landscape inside. The tent is supported by several metal poles and is secured to the ground with stakes.\n\nAbove the tent, there is a gray cloud with raindrops falling from it. The raindrops are depicted as small black circles, indicating that it is currently raining. The overall scene suggests a rainy camping experience, with the tent being exposed to the elements. The mountains visible through the tent's opening add a sense of adventure and wilderness to the illustration.",1
chocolate teapot,idiomatic,"Nonetheless, the striking partner of the two is often undermined by chocolate teapot Arsenal's defence.",79994348383.png,"The image depicts a whimsical, stylized teapot that appears to be made of chocolate or a similar material. The teapot is adorned with colorful candies and confections, giving it a festive and playful appearance. The handle and spout are orange, contrasting with the brown body of the teapot. At the top of the teapot, there is a large, round candy with a stick, resembling a lollipop or a similar treat. The candies on the teapot are variously colored, including blue, yellow, orange, and pink, adding to its vibrant and cheerful look. The teapot is placed on a white saucer, which sits on a light-colored surface. The overall design is imaginative and likely intended to evoke a sense of fun and creativity.",0
chocolate teapot,idiomatic,"Nonetheless, the striking partner of the two is often undermined by chocolate teapot Arsenal's defence.",79200944840.png,"The image depicts an office chair with a modern design. The chair has a high backrest and is upholstered in a rich, orange-brown leather material. The backrest features tufted detailing, adding a touch of elegance to the chair's appearance. The seat cushion is also upholstered in the same material, ensuring comfort for the user.\n\nThe armrests are made of black plastic or metal and are contoured to provide support for the arms. The chair has a five-star base, which consists of five black casters that allow for easy movement across various surfaces. The base is connected to the seat via a central column, which likely includes a mechanism for adjusting the height of the chair.\n\nThe overall design of the chair suggests it is intended for use in an office setting, providing both style and functionality. The tufted backrest and comfortable seat indicate that it is designed to offer ergonomic support, making it suitable for extended periods of sitting. The chair's color and material choices suggest it is aimed at users who appreciate a blend of comfort and aesthetic appeal in their workspace furniture.",0
pipe dream,idiomatic,"The result is that whether you sleep on your back or your side, the ultimate night's sleep is no longer a pipe dream.",02795863019.png,"The image depicts an elderly man with gray hair and glasses, wearing a yellow sweater and black pants. He is holding a broom in his right hand and appears to be sweeping the ground. Above him, there is a thought bubble containing another version of himself, also holding a broom, but this time he is standing on a cloud and looking up at the moon. The background is white, and there are small, floating dots around the thought bubble, giving it a whimsical and dreamy feel.",1
pipe dream,idiomatic,"The result is that whether you sleep on your back or your side, the ultimate night's sleep is no longer a pipe dream.",89899531949.png,"The image depicts a cartoon-style illustration of a child sleeping in a bed. The child is wearing an orange outfit and a matching hat, and is lying on their side with their head resting on their arm. Above the child's head, there is a thought bubble filled with various pipes and valves, suggesting that the child might be dreaming about plumbing or mechanical systems. The overall scene is whimsical and imaginative, capturing a moment of the child's dreams.",0
pipe dream,idiomatic,"The result is that whether you sleep on your back or your side, the ultimate night's sleep is no longer a pipe dream.",75172836336.png,"The image depicts a bowling scene with a focus on the bowling ball and the pins. The bowling ball is orange with black spots, positioned in front of several white bowling pins. The pins have red bands around their middle sections. The bowling ball appears to be in motion, possibly having just been thrown or about to be thrown. The wooden surface of the bowling alley is visible beneath the ball and pins.",0
